#       # k              E            BS weight       TS weight
      0.0000000     -3.0057674       0.0000623       0.0000656
      0.0431429      0.0000000       0.0000000       0.0000000
      0.0862858      0.0000000       0.0000000       0.0000000
      0.1294287      0.0000000       0.0000000       0.0000000
      0.1725717      0.0000000       0.0000000       0.0000000
      0.2157146      0.0000000       0.0000000       0.0000000
      0.2588575      0.0000000       0.0000000       0.0000000
      0.3020004      0.0000000       0.0000000       0.0000000
      0.3451433      0.0000000       0.0000000       0.0000000
      0.3882862      0.0000000       0.0000000       0.0000000
      0.4314292     -2.7295958       0.0000602       0.0000641
      0.4745721      0.0000000       0.0000000       0.0000000
      0.5177150      0.0000000       0.0000000       0.0000000
      0.5608579      0.0000000       0.0000000       0.0000000
      0.6040008      0.0000000       0.0000000       0.0000000
      0.6471437      0.0000000       0.0000000       0.0000000
      0.6902867      0.0000000       0.0000000       0.0000000
      0.7334296      0.0000000       0.0000000       0.0000000
      0.7765725      0.0000000       0.0000000       0.0000000
      0.8197154      0.0000000       0.0000000       0.0000000
      0.8628583     -1.9785723       0.0000521       0.0000589
      0.9060012      0.0000000       0.0000000       0.0000000
      0.9491442      0.0000000       0.0000000       0.0000000
      0.9922871      0.0000000       0.0000000       0.0000000
      1.0354300      0.0000000       0.0000000       0.0000000
      1.0785729      0.0000000       0.0000000       0.0000000
      1.1217158      0.0000000       0.0000000       0.0000000
      1.1648587      0.0000000       0.0000000       0.0000000
      1.2080017      0.0000000       0.0000000       0.0000000
      1.2511446      0.0000000       0.0000000       0.0000000
      1.2942875     -1.0719939       0.0000373       0.0000543
      1.3374304      0.0000000       0.0000000       0.0000000
      1.3805733      0.0000000       0.0000000       0.0000000
      1.4237162      0.0000000       0.0000000       0.0000000
      1.4668592      0.0000000       0.0000000       0.0000000
      1.5100021      0.0000000       0.0000000       0.0000000
      1.5531450      0.0000000       0.0000000       0.0000000
      1.5962879      0.0000000       0.0000000       0.0000000
      1.6394308      0.0000000       0.0000000       0.0000000
      1.6825737      0.0000000       0.0000000       0.0000000
      1.7257167     -2.0698335       0.0000533       0.0000596
      1.7688596      0.0000000       0.0000000       0.0000000
      1.8120025      0.0000000       0.0000000       0.0000000
      1.8551454      0.0000000       0.0000000       0.0000000
      1.8982883      0.0000000       0.0000000       0.0000000
      1.9414312      0.0000000       0.0000000       0.0000000
      1.9845741      0.0000000       0.0000000       0.0000000
      2.0277171      0.0000000       0.0000000       0.0000000
      2.0708600      0.0000000       0.0000000       0.0000000
      2.1140029      0.0000000       0.0000000       0.0000000
      2.1571458     -2.7810467       0.0000606       0.0000644
      2.2002887      0.0000000       0.0000000       0.0000000
      2.2434316      0.0000000       0.0000000       0.0000000
      2.2865746      0.0000000       0.0000000       0.0000000
      2.3297175      0.0000000       0.0000000       0.0000000
